speed, network-throughput-(kbps), end-to-end-avg-delay-(sec), packet-delivery-ratio-(%), packet-drop-ratio-(%), energy-consumption-(joule)
5,13.279565317350814,0.07666703515110766,85.2901484480432,5.060728744939271,1436.8622130000003
10,3.21344,0.06366964403433839,82.68698060941828,5.74792243767313,1437.1277380000001
15,2.74816,0.0579852972447968,80.59105431309904,6.6293929712460065,1437.4038070000006
20,2.92224,0.061688153345588255,80.35450516986707,6.056129985228951,1430.324705
25,2.93184,0.055390671300275404,81.39013452914799,5.829596412556054,1430.8176439999997
