packets, network-throughput-(kbps), end-to-end-avg-delay-(sec), packet-delivery-ratio-(%), packet-drop-ratio-(%), energy-consumption-(joule)
100,16.424905493063545,0.04429151301608908,84.82939632545931,6.456692913385827,1436.8603400000002
200,15.77916000747778,0.052476844537766194,85.1098901098901,6.0989010989010985,1436.6079449999997
300,15.799742553748821,0.056106750136041356,85.07953922106418,6.14371914426769,1436.8560959999995
400,15.807138340503016,0.04942412517994857,85.44755628775398,5.326743547501374,1435.9867780000004
500,15.807138340503016,0.04942412517994857,85.44755628775398,5.326743547501374,1435.9867780000004
