time,ssthreshold-(packets)
0,20
3,2
4,4991
9,10796
10,1523
11,26034
12,11442
13,10321
14,96410
15,17149
16,27796
17,40339
21,4027
22,1142
23,38359
24,5721
25,5160
26,48205
27,8574
28,13898
29,20169
45,2013
47,19179
48,3814
49,3440
50,32136
51,5716
52,9265
53,13446
93,1342
95,12786
96,2860
97,2580
98,24102
99,4287
