time,ssthreshold-(packets)
0,20
3,2
6,2
9,2
11,2
13,2
17,2
21,2
22,2
23,2
25,2
28,2
29,2
45,2
46,2
47,2
49,2
52,2
53,2
93,2
94,2
95,2
97,2
