time,congestion-window-(packets)
0,1.000
1,2.000
3,2.000
4,1.000
5,2.000
6,2.900
7,4.000
8,2.000
9,2.000
10,3.245
11,4.095
12,1.000
13,1.000
14,1.000
15,1.000
16,1.000
17,1.000
21,1.000
23,1.000
