time,congestion-window-(packets)
0,1.000
1,2.000
3,6.000
4,1.000
5,1.000
6,3.834
7,2.000
8,4.789
9,3.245
10,4.998
11,5.198
12,1.000
15,1.000
16,1.000
17,1.000
22,1.000
23,1.000
