time,congestion-window-(packets)
0,1.000
1,2.000
3,3.834
4,4.570
5,2.500
7,2.900
8,2.500
9,2.900
10,2.500
11,1.000
13,1.000
14,1.000
15,1.000
16,1.000
17,1.000
21,1.000
22,1.000
23,1.000
