time,congestion-window-(packets)
0,1.000
1,0.000
2,0.000
3,2.000
4,1.000
5,0.000
6,0.000
7,0.000
8,0.000
9,0.000
10,0.000
11,2.000
12,1.000
13,1.000
14,1.000
15,1.000
16,1.000
22,1.000
23,1.000
