time,ssthreshold-(packets)
0,20
3,2
4,2
6,3
7,3
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,3
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
45,2
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
