speed, network-throughput-(kbps), end-to-end-avg-delay-(sec), packet-delivery-ratio-(%), packet-drop-ratio-(%), energy-consumption-(joule)
5,4.05696,0.03757620563994827,85.65891472868216,4.208194905869324,1436.6786350000002
10,15.449305845152347,0.048779923627844696,85.27397260273972,4.908675799086757,1439.9817540000004
15,15.807138340503016,0.04942412517994857,85.44755628775398,5.326743547501374,1435.9867780000004
20,3.78112,0.04702455811966401,84.85748218527316,5.225653206650831,1439.666451
25,3.92512,0.04233412261662199,85.40354894104179,4.979965655409273,1439.1310549999998
