coverage, network-throughput-(kbps), end-to-end-avg-delay-(sec), packet-delivery-ratio-(%), packet-drop-ratio-(%), energy-consumption-(joule)
5,63.852402152468606,2.335620689148149,57.27272727272727,20.606060606060606,1440.0
10,63.852402152468606,2.335620689148149,57.27272727272727,20.606060606060606,1440.0
15,63.852402152468606,2.335620689148149,57.27272727272727,20.606060606060606,1440.0
20,63.852402152468606,2.335620689148149,57.27272727272727,20.606060606060606,1440.0
25,63.852402152468606,2.335620689148149,57.27272727272727,20.606060606060606,1440.0
