packets, network-throughput-(kbps), end-to-end-avg-delay-(sec), packet-delivery-ratio-(%), packet-drop-ratio-(%), energy-consumption-(joule)
100,63.852402152468606,2.335620689148149,57.27272727272727,20.606060606060606,1440.0
200,63.852402152468606,2.335620689148149,57.27272727272727,20.606060606060606,1440.0
300,63.852402152468606,2.335620689148149,57.27272727272727,20.606060606060606,1440.0
400,63.852402152468606,2.335620689148149,57.27272727272727,20.606060606060606,1440.0
500,63.852402152468606,2.335620689148149,57.27272727272727,20.606060606060606,1440.0
