flows, network-throughput-(kbps), end-to-end-avg-delay-(sec), packet-delivery-ratio-(%), packet-drop-ratio-(%), energy-consumption-(joule)
10,12.791265091822625,0.061118287264062356,97.04321455648218,0.9855951478392722,1437.6667859999998
20,14.580475295922877,0.04846548386427564,95.75757575757575,1.2794612794612794,1402.3838510000005
30,2.85504,0.05265114004100644,91.7094017094017,4.188034188034187,1432.6017229999998
40,2.84224,0.048039439667907066,88.47736625514403,4.77366255144033,1428.4599829999997
50,2.46272,0.07006051232821087,85.37956888472353,5.810684161199625,1439.1303499999995
