packets, network-throughput-(kbps), end-to-end-avg-delay-(sec), packet-delivery-ratio-(%), packet-drop-ratio-(%), energy-consumption-(joule)
100,0.30272,0.4222256706090225,45.39249146757679,7.167235494880546,1436.768357
200,0.30272,0.4222256706090225,45.39249146757679,7.167235494880546,1436.768357
300,0.30272,0.4222256706090225,45.39249146757679,7.167235494880546,1436.768357
400,0.30272,0.4222256706090225,45.39249146757679,7.167235494880546,1436.768357
500,0.30272,0.4222256706090225,45.39249146757679,7.167235494880546,1436.768357
