flows, network-throughput-(kbps), end-to-end-avg-delay-(sec), packet-delivery-ratio-(%), packet-drop-ratio-(%), energy-consumption-(joule)
10,0.4941352424172863,0.21036554309375002,72.72727272727273,6.8181818181818175,1435.4768970000005
20,0.8616331464982269,0.21553035942857146,62.82051282051282,2.564102564102564,1400.4885539999996
30,0.14848,0.28265302611940324,57.758620689655174,9.482758620689655,1418.8538929999995
40,0.18016,0.5399179044102566,46.706586826347305,13.17365269461078,1421.703681
50,0.224,0.19935441477884613,54.45026178010471,7.853403141361256,1436.0818140000001
