nodes, network-throughput-(kbps), end-to-end-avg-delay-(sec), packet-delivery-ratio-(%), packet-drop-ratio-(%), energy-consumption-(joule)
20,0.29856,0.20267926461594185,45.24590163934426,21.639344262295083,227.8819139999996
40,0.35872,0.26122403791358006,50.625,16.25,442.4385490000004
60,0.3232,0.24846665966216225,49.00662251655629,9.933774834437086,709.2717190000003
80,0.22592,0.2692322228349516,33.881578947368425,15.789473684210526,885.6088970000001
100,0.31616,0.2296304040666666,45.302013422818796,17.114093959731544,1158.0675110000002
