speed, network-throughput-(kbps), end-to-end-avg-delay-(sec), packet-delivery-ratio-(%), packet-drop-ratio-(%), energy-consumption-(joule)
5,3.82976,0.038499285656903866,81.10859728506787,6.278280542986425,1434.8565479999997
10,3.54688,0.044252370935143275,79.49640287769785,9.172661870503598,1439.3986260000001
15,14.94442053223727,0.043503199923183446,82.24245873648263,6.146841206602162,1434.1509750000005
20,13.517842505401036,0.036245043630452674,79.05009759271307,6.115810019518542,1439.998842
25,15.790174160107359,0.06408896803028175,81.42201834862385,6.823394495412844,1439.9989829999995
