flows, network-throughput-(kbps), end-to-end-avg-delay-(sec), packet-delivery-ratio-(%), packet-drop-ratio-(%), energy-consumption-(joule)
10,13.208287803996498,0.020088524214069627,97.27740986019133,1.4716703458425313,1435.1078669999997
20,3.53344,0.02259477809646543,93.59062715368711,3.1013094417643003,1406.379312
30,3.60192,0.03563480315142642,91.43812709030101,3.9464882943143813,1435.868923
40,3.4816,0.02297428838607118,87.94940079893475,5.9254327563249,1434.4399460000004
50,3.72736,0.029078668816067656,87.16216216216216,4.914004914004914,1439.0319870000003
