time,ssthreshold-(packets)
0,433733
1,267289
2,816840
3,890694
4,1252867
5,1323626
6,386732
9,94723
10,373162
11,716128
12,97274
14,2
17,2
21,4835
22,119754
23,174817
24,2
37,2
45,3223
64,2
93,2417
