time,congestion-window-(packets)
0,2.000
1,6.000
2,2.000
3,1.000
4,1.000
5,4.339
6,5.198
9,8.215
10,3.834
11,14.699
12,1.000
14,1.000
21,1.000
22,1.000
23,1.000
