time,ssthreshold-(packets)
0,2
1,2
2,2
3,2
4,2
5,2
9,2
10,2
12,2
14,2
20,2
21,2
22,2
23,2
24,2
32,2
45,2
46,2
47,2
48,2
56,2
93,2
94,2
95,2
96,2
