time,congestion-window-(packets)
0,51.977
1,30.249
2,90.249
3,160.249
4,231.249
5,336.249
6,446.249
7,566.249
8,694.249
9,15.995
10,26.000
11,70.000
12,1.000
21,1.000
23,1.000
